date,description,category,amount
01/01/2024,Lunch,Shopping,2083.13
01/01/2024,Electricity Bill,Shopping,348.62
01/02/2024,Lunch,Other,603.48
01/02/2024,Electricity Bill,Rent,495.84
01/02/2024,Fuel,Travel,1614.59
01/02/2024,Fuel,Shopping,2345.88
01/03/2024,Groceries,Shopping,1616.19
01/03/2024,Electricity Bill,Rent,1439.03
01/03/2024,Online Order,Rent,816.45
01/03/2024,Lunch,Rent,1668.7
01/03/2024,Electricity Bill,Food,1048.03
01/04/2024,Online Order,Rent,1109.15
01/04/2024,Online Order,Shopping,2565.79
01/04/2024,Online Order,Shopping,2518.55
01/05/2024,Fuel,Shopping,2900.06
01/05/2024,Lunch,Shopping,2689.12
01/05/2024,Groceries,Other,790.43
01/06/2024,Fuel,Travel,258.66
01/06/2024,Groceries,Shopping,1122.52
01/06/2024,Groceries,Other,2021.84
01/06/2024,Groceries,Shopping,1205.4
01/07/2024,Fuel,Shopping,1744.06
01/07/2024,Electricity Bill,Food,282.52
01/08/2024,Electricity Bill,Travel,1868.88
01/08/2024,Fuel,Other,2320.1
01/09/2024,Lunch,Other,2246.93
01/09/2024,Fuel,Food,1820.55
01/09/2024,Electricity Bill,Food,1148.33
01/10/2024,Electricity Bill,Food,2743.54
01/10/2024,Online Order,Shopping,748.75
01/10/2024,Fuel,Other,2497.41
01/11/2024,Lunch,Travel,2848.74
01/11/2024,Online Order,Shopping,202.98
01/11/2024,Lunch,Rent,1524.73
01/12/2024,Lunch,Travel,454.45
01/12/2024,Groceries,Travel,2831.73
01/13/2024,Online Order,Travel,2110.01
01/13/2024,Online Order,Rent,2752.42
01/13/2024,Lunch,Other,2829.11
01/13/2024,Lunch,Shopping,1129.69
01/14/2024,Groceries,Food,1661.99
01/14/2024,Electricity Bill,Rent,1943.72
01/14/2024,Electricity Bill,Shopping,1280.17
01/14/2024,Groceries,Travel,1955.8
01/14/2024,Lunch,Shopping,697.75
01/15/2024,Electricity Bill,Shopping,413.63
01/15/2024,Fuel,Rent,1556.96
01/15/2024,Lunch,Travel,1082.37
01/15/2024,Lunch,Shopping,411.02
01/15/2024,Lunch,Other,496.06
01/16/2024,Fuel,Shopping,1154.82
01/16/2024,Lunch,Travel,553.07
01/17/2024,Fuel,Travel,1682.44
01/17/2024,Electricity Bill,Travel,2895.61
01/17/2024,Fuel,Rent,1428.66
01/17/2024,Lunch,Rent,2948.61
01/18/2024,Electricity Bill,Food,2919.36
01/18/2024,Electricity Bill,Rent,1240.69
01/18/2024,Fuel,Travel,2285.98
01/19/2024,Groceries,Shopping,1253.26
01/19/2024,Lunch,Travel,261.36
01/20/2024,Online Order,Shopping,1308.86
01/20/2024,Fuel,Food,759.96
01/20/2024,Fuel,Rent,1766.75
01/20/2024,Groceries,Rent,1522.56
01/21/2024,Online Order,Other,2959.55
01/21/2024,Online Order,Rent,721.7
01/21/2024,Groceries,Travel,2940.36
01/22/2024,Electricity Bill,Other,2429.5
01/22/2024,Electricity Bill,Travel,2987.33
01/22/2024,Lunch,Other,760.36
01/22/2024,Online Order,Shopping,1146.48
01/22/2024,Lunch,Rent,979.96
01/23/2024,Fuel,Shopping,939.92
01/23/2024,Online Order,Other,654.66
01/23/2024,Lunch,Rent,401.49
01/23/2024,Electricity Bill,Travel,2991.14
01/23/2024,Fuel,Other,1880.95
